i: 3, m: 0.003333333340710639, v: 4.2592923884032974e-14
i: 4, m: 0.0026877881860476074, v: 5.7000520985583535e-6
i: 5, m: 0.0033333333333333314, v: 6.96820214417994e-40
i: 6, m: 0.002059794339010012, v: 2.603954189793235e-6
i: 7, m: 0.003333333333333328, v: 1.88079096131566e-37
i: 8, m: 0.002674177816843271, v: 2.794481149598898e-6
i: 9, m: 0.0035362864426333796, v: 6.510530973420317e-7
i: 10, m: 0.002008837549445525, v: 8.586293073502203e-7
i: 11, m: 0.003280003034401109, v: 3.6539195464426592e-6
i: 12, m: 0.00216693237846253, v: 8.338869050953125e-7
i: 13, m: 0.003049940104464937, v: 3.196264521101496e-6
i: 14, m: 0.0030530719305530414, v: 1.8334435776798465e-6
i: 15, m: 0.002102415825782238, v: 1.764016180038709e-6
i: 16, m: 0.002987815455814125, v: 1.5426592628693515e-6
i: 17, m: 0.0014961032038376411, v: 1.9205573622290496e-6
i: 18, m: 0.003116225441831441, v: 1.5244101857315455e-6
i: 19, m: 0.003573165052559336, v: 2.388770495058624e-6
i: 20, m: 0.0026566152196208794, v: 9.372081679625338e-7
i: 21, m: 0.0026048440462694586, v: 2.1102691643930706e-6
i: 22, m: 0.002477206308634001, v: 1.2916186672457265e-6
i: 23, m: 0.0026408427817108853, v: 2.0546655480665814e-6
i: 24, m: 0.003158727441929645, v: 2.81075088458488e-6
i: 25, m: 0.0027929659352959563, v: 3.451906561556999e-6
i: 26, m: 0.002709280344404126, v: 1.9524654486716687e-6
i: 27, m: 0.0030121778085149503, v: 1.4617091175284256e-6
i: 28, m: 0.0028692940068516773, v: 2.2607209088627004e-6
i: 29, m: 0.0029848326373808306, v: 7.095197834176437e-7
i: 30, m: 0.0015471585404240227, v: 1.234909322048903e-6
i: 31, m: 0.002145467893331488, v: 8.505646144604588e-7
i: 32, m: 0.0024788970280639998, v: 2.1950895482228744e-6
i: 33, m: 0.003001799399990308, v: 9.248498571670932e-7
i: 34, m: 0.0025535161009023447, v: 2.607144413467873e-6
i: 35, m: 0.002890882910711911, v: 2.396453258929698e-6
i: 36, m: 0.0021220039216443406, v: 1.6056850730239491e-6
i: 37, m: 0.0027768926351668306, v: 1.3215155039790216e-6
i: 38, m: 0.0029327193634687983, v: 1.8295834618979331e-6
i: 39, m: 0.002898766634083851, v: 1.9180117525834604e-6
i: 40, m: 0.0028083393449332902, v: 1.3530045752743415e-6
i: 41, m: 0.0024416341190788564, v: 1.4326393040269305e-6
i: 42, m: 0.002340735558530677, v: 1.975096225188329e-6
i: 43, m: 0.0024518432878697215, v: 2.1718446354311274e-6
i: 44, m: 0.0027177581036443824, v: 2.3567297810429363e-6
i: 45, m: 0.0018539709116889035, v: 1.3795355762203804e-6
i: 46, m: 0.0027249932420846334, v: 2.569193339512442e-6
i: 47, m: 0.0022925251393686643, v: 2.073066661607204e-6
i: 48, m: 0.0026687652032971526, v: 1.9131846202502837e-6
i: 49, m: 0.0032253281963298282, v: 2.387769870151956e-6
i: 50, m: 0.0022455514204653628, v: 1.2521372416056865e-6
i: 51, m: 0.0024272466727636886, v: 2.9024121775229916e-6
i: 52, m: 0.0024415100311273017, v: 1.3935036028935867e-6
i: 53, m: 0.003081039033717667, v: 2.157910491642739e-6
i: 54, m: 0.0033243961673439723, v: 1.8548809077529391e-6
i: 55, m: 0.0027785993302429143, v: 2.8144495895360006e-6
i: 56, m: 0.002843297690623715, v: 1.7503121845076744e-6
i: 57, m: 0.002461879103255239, v: 1.3970436906390423e-6
i: 58, m: 0.003145319976023019, v: 2.489661150828117e-6
i: 59, m: 0.0027967477917701217, v: 2.417857302272085e-6
i: 60, m: 0.0029207766985640832, v: 1.0120289962868968e-6
i: 61, m: 0.00276142278814711, v: 2.000783528991503e-6
i: 62, m: 0.0025889137314520478, v: 2.4297555836468582e-6
i: 63, m: 0.002443153560395716, v: 1.026141012717488e-6
i: 64, m: 0.0021900384705013614, v: 1.6294871907655381e-6
i: 65, m: 0.0029017316995622044, v: 2.3660986108906402e-6
i: 66, m: 0.0028266017400704825, v: 2.2410450036544576e-6
i: 67, m: 0.0028800063347835607, v: 1.937569065093266e-6
i: 68, m: 0.002203496658680738, v: 2.9381476631634715e-6
i: 69, m: 0.002422925823667225, v: 1.5661153887587586e-6
i: 70, m: 0.0027129717454163703, v: 1.916199167649417e-6
i: 71, m: 0.003165743628774435, v: 1.98618096634588e-6
i: 72, m: 0.0027143199849958754, v: 2.433275540948932e-6
i: 73, m: 0.002579541114590763, v: 1.9469804911958232e-6
i: 74, m: 0.0023865301422955495, v: 2.3560547224819804e-6
i: 75, m: 0.0030065655112487453, v: 3.47403261351554e-6
i: 76, m: 0.0017787643630219512, v: 1.318811622612318e-6
i: 77, m: 0.0027177514610328217, v: 1.6025023659964846e-6
i: 78, m: 0.0025904174361745073, v: 2.710787018027959e-6
i: 79, m: 0.003020992035503888, v: 1.8009331193085419e-6
i: 80, m: 0.002867109623493515, v: 2.5766091326909016e-6
i: 81, m: 0.0028067288020157347, v: 2.4978116616672603e-6
i: 82, m: 0.002594845466284591, v: 2.5210776539976016e-6
i: 83, m: 0.002664619662798132, v: 1.9948291266380554e-6
i: 84, m: 0.0022978959189914054, v: 2.1719664893398893e-6
i: 85, m: 0.0031574239107686674, v: 3.2417472511455035e-6
i: 86, m: 0.0026423508221984924, v: 2.1029392617798127e-6
i: 87, m: 0.0030027889704414977, v: 2.0761421431662065e-6
i: 88, m: 0.0029555220551486087, v: 1.816484186283215e-6
